date,symbol,close,volume
2024-01-01 00:00:00+00:00,ESM24,4842.836866485734,9326
2024-01-02 00:00:00+00:00,ESH24,4998.367045151848,7212
2024-01-03 00:00:00+00:00,ESH24,4821.714778477698,7960
2024-01-04 00:00:00+00:00,ESH24,4802.004156678042,4789
2024-01-05 00:00:00+00:00,ESM24,4974.158709215417,9926
2024-01-06 00:00:00+00:00,ESM24,4917.320881661696,2133
2024-01-07 00:00:00+00:00,ESH24,4884.325260415007,4098
2024-01-08 00:00:00+00:00,ESH24,4816.392785106419,4471
2024-01-09 00:00:00+00:00,ESH24,4914.9785061963385,6439
2024-01-10 00:00:00+00:00,ESH24,4878.7451170471795,4265
2024-01-11 00:00:00+00:00,ESH24,4896.724382597737,2968
2024-01-12 00:00:00+00:00,ESH24,4926.078372280442,8513
2024-01-13 00:00:00+00:00,ESH24,4927.986721126113,4144
2024-01-14 00:00:00+00:00,ESH24,4992.119848270608,8091
2024-01-15 00:00:00+00:00,ESM24,4931.010682687869,2224
2024-01-16 00:00:00+00:00,ESH24,4867.8808280364465,8812
2024-01-17 00:00:00+00:00,ESH24,4865.926565553015,2187
2024-01-18 00:00:00+00:00,ESM24,4895.43219058153,1006
2024-01-19 00:00:00+00:00,ESM24,4851.865539973636,3108
2024-01-20 00:00:00+00:00,ESM24,4875.287795625258,6020
2024-01-21 00:00:00+00:00,ESH24,4968.422554385967,1935
2024-01-22 00:00:00+00:00,ESH24,4971.9523205734395,8198
2024-01-23 00:00:00+00:00,ESH24,4925.558495640068,9751
2024-01-24 00:00:00+00:00,ESM24,4916.568188398816,6637
2024-01-25 00:00:00+00:00,ESH24,4885.419966346706,9637
2024-01-26 00:00:00+00:00,ESH24,4927.179783113769,2308
2024-01-27 00:00:00+00:00,ESH24,4961.210669146298,2416
2024-01-28 00:00:00+00:00,ESH24,4947.569411581796,6045
2024-01-29 00:00:00+00:00,ESM24,4807.091903135537,2905
2024-01-30 00:00:00+00:00,ESH24,4946.225999721127,9521
2024-01-31 00:00:00+00:00,ESH24,4943.989533435,8300
2024-02-01 00:00:00+00:00,ESH24,4819.7981073377405,8782
2024-02-02 00:00:00+00:00,ESH24,4830.049472917825,7102
2024-02-03 00:00:00+00:00,ESM24,4957.581702236065,4397
2024-02-04 00:00:00+00:00,ESH24,4911.79791564932,4678
2024-02-05 00:00:00+00:00,ESM24,4964.325798117133,7030
2024-02-06 00:00:00+00:00,ESH24,4836.948826981196,4002
2024-02-07 00:00:00+00:00,ESH24,4806.122952941268,7622
2024-02-08 00:00:00+00:00,ESM24,4832.388350934236,3565
2024-02-09 00:00:00+00:00,ESM24,4890.514009056604,3583
2024-02-10 00:00:00+00:00,ESH24,4904.65855112198,6851
2024-02-11 00:00:00+00:00,ESM24,4971.5402244105335,8497
2024-02-12 00:00:00+00:00,ESH24,4943.2401059704125,2814
2024-02-13 00:00:00+00:00,ESH24,4998.078128105816,4918
2024-02-14 00:00:00+00:00,ESM24,4815.743918275073,7511
2024-02-15 00:00:00+00:00,ESH24,4826.044214507984,4213
2024-02-16 00:00:00+00:00,ESH24,4816.871118764114,4887
2024-02-17 00:00:00+00:00,ESM24,4907.691609315628,8757
2024-02-18 00:00:00+00:00,ESM24,4853.372154161265,2222
2024-02-19 00:00:00+00:00,ESH24,4936.726588019421,6746
2024-02-20 00:00:00+00:00,ESH24,4826.538177691331,4107
2024-02-21 00:00:00+00:00,ESH24,4820.638279912425,3513
2024-02-22 00:00:00+00:00,ESM24,4892.03309399859,5852
2024-02-23 00:00:00+00:00,ESH24,4875.179670652665,5976
2024-02-24 00:00:00+00:00,ESH24,4965.8329831990195,5983
2024-02-25 00:00:00+00:00,ESM24,4967.5108150086,5138
2024-02-26 00:00:00+00:00,ESH24,4823.485733574695,2320
2024-02-27 00:00:00+00:00,ESM24,4962.4645559684095,3366
2024-02-28 00:00:00+00:00,ESM24,4912.832996475724,5313
2024-02-29 00:00:00+00:00,ESH24,4900.71165477534,3535
