timestamp,price,bid,ask,bid_size,ask_size
2024-01-01 09:00:00+00:00,1.0918111120082068,1.098192505320983,1.0993901274835176,5,9
2024-01-01 09:00:01+00:00,1.080689994448221,1.0929099350180127,1.08782704583861,4,9
2024-01-01 09:00:02+00:00,1.096376848657959,1.0869822120277952,1.0966596659591428,3,9
2024-01-01 09:00:03+00:00,1.083897056381497,1.0846194665981632,1.0864744540616482,9,4
2024-01-01 09:00:04+00:00,1.0858468425556773,1.0837047505494888,1.0998520054671737,4,5
2024-01-01 09:00:05+00:00,1.0834685904004135,1.0926158465399918,1.0946692198402757,7,1
2024-01-01 09:00:06+00:00,1.0953415331507177,1.0969158200515376,1.0923855197436478,5,6
2024-01-01 09:00:07+00:00,1.0916731598525085,1.0940988393922868,1.0965974031580714,7,2
2024-01-01 09:00:08+00:00,1.095105923055041,1.0956958307603308,1.0972646234111507,8,7
2024-01-01 09:00:09+00:00,1.0930679681085862,1.0946276753526907,1.0988473979645068,8,4
2024-01-01 09:00:10+00:00,1.0820831726883882,1.0985829533299603,1.0990223906569485,6,4
2024-01-01 09:00:11+00:00,1.0860299955170203,1.0941560985365264,1.082053816511071,5,9
2024-01-01 09:00:12+00:00,1.0901453031918025,1.0832045703694055,1.0834581521602558,2,1
2024-01-01 09:00:13+00:00,1.0860989006286272,1.0948319693094903,1.097521217563744,8,6
2024-01-01 09:00:14+00:00,1.0841460780881225,1.085441387219696,1.0999210330676035,5,2
2024-01-01 09:00:15+00:00,1.0973962393813321,1.0989159972532572,1.0871534369624787,8,6
2024-01-01 09:00:16+00:00,1.0949556735043076,1.086533452402003,1.0811720363686543,6,7
2024-01-01 09:00:17+00:00,1.0869044012110836,1.0848558751169446,1.087454103780704,8,3
2024-01-01 09:00:18+00:00,1.0953002472525781,1.0837843197101782,1.0886572827194514,1,4
2024-01-01 09:00:19+00:00,1.0925507723689047,1.0921702930411674,1.096220667294468,9,2
2024-01-01 09:00:20+00:00,1.080075714672648,1.0811844217677506,1.0819516933127566,9,7
2024-01-01 09:00:21+00:00,1.0876052405202328,1.0980711976346593,1.0852528047218533,3,9
2024-01-01 09:00:22+00:00,1.0858097499838868,1.0848862535728627,1.0988793717238927,5,5
2024-01-01 09:00:23+00:00,1.084358172434118,1.0849080122207695,1.0840964081890287,7,5
2024-01-01 09:00:24+00:00,1.085031787881417,1.0799213219141413,1.0961849530393668,8,9
2024-01-01 09:00:25+00:00,1.0988472969315106,1.0839203503574715,1.0882262083115815,7,8
